Timestamp,cw_kWh,stm_kWheq,elec_kWh
2020-01-01 0:00,2.97,41.9414996,84.00
2020-01-01 1:00,3.17,32.90794584,84.00
2020-01-01 2:00,3.73,51.94293412,84.00
2020-01-01 3:00,3.50,48.07141108,85.00
2020-01-01 4:00,3.79,48.07141108,84.00
2020-01-01 5:00,3.52,52.58818796,84.00
2020-01-01 6:00,3.80,68.71953396,82.00
2020-01-01 7:00,3.17,53.2334418,80.00
2020-01-01 8:00,2.97,59.36335328,83.00
2020-01-01 9:00,3.79,30.97218432,84.00
2020-01-01 10:00,3.74,193.576152,104.00
2020-01-01 11:00,3.44,173.8959099,117.00
2020-01-01 12:00,3.94,179.0579406,120.00
2020-01-01 13:00,3.52,169.0565061,125.00
2020-01-01 14:00,3.12,150.9893986,126.00
2020-01-01 15:00,2.76,136.1485602,130.00
2020-01-01 16:00,3.69,54.8465764,93.00
2020-01-01 17:00,3.12,11.2919422,90.00
2020-01-01 18:00,2.90,27.4232882,90.00
2020-01-01 19:00,3.14,30.32693048,91.00
2020-01-01 20:00,3.32,45.81302264,87.00
2020-01-01 21:00,3.61,48.71666492,89.00
2020-01-01 22:00,3.43,36.13421504,88.00
2020-01-01 23:00,2.97,31.94006508,88.00
2020-01-02 0:00,3.51,61.62174172,89.00
2020-01-02 1:00,3.20,56.459711,86.00
2020-01-02 2:00,3.10,49.03929184,89.00
2020-01-02 3:00,2.75,55.16920332,89.00
2020-01-02 4:00,3.43,69.3647878,87.00
2020-01-02 5:00,2.75,57.10496484,88.00
2020-01-02 6:00,3.49,67.7516532,86.00
2020-01-02 7:00,2.70,51.6203072,84.00
2020-01-02 8:00,3.20,68.07428012,89.00
2020-01-02 9:00,3.00,28.06854204,88.00
2020-01-02 10:00,3.11,173.250656,118.00
2020-01-02 11:00,3.76,146.1499948,133.00
2020-01-02 12:00,3.23,129.6960218,147.00
2020-01-02 13:00,3.43,127.4376334,158.00
2020-01-02 14:00,3.94,127.1150065,154.00
2020-01-02 15:00,2.82,124.856618,153.00
2020-01-02 16:00,3.52,37.74734964,108.00
2020-01-02 17:00,2.73,0,93.00
2020-01-02 18:00,2.93,0.96788076,95.00
2020-01-02 19:00,2.75,0.64525384,92.00
2020-01-02 20:00,3.46,1.93576152,90.00
2020-01-02 21:00,2.70,2.58101536,90.00
2020-01-02 22:00,2.94,1.6131346,89.00
2020-01-02 23:00,3.17,3.87152304,89.00
2020-01-03 0:00,3.20,0.96788076,91.00
2020-01-03 1:00,3.17,3.87152304,94.00
2020-01-03 2:00,3.05,2.25838844,92.00
2020-01-03 3:00,3.28,3.2262692,95.00
2020-01-03 4:00,3.37,6.12991148,94.00
2020-01-03 5:00,3.25,1.29050768,93.00
2020-01-03 6:00,3.14,4.19414996,92.00
2020-01-03 7:00,2.63,64.525384,95.00
2020-01-03 8:00,3.30,160.6682062,127.00
2020-01-03 9:00,2.69,141.6332179,137.00
2020-01-03 10:00,2.86,114.2099297,158.00
2020-01-03 11:00,3.19,94.85231448,164.00
2020-01-03 12:00,2.82,70.9779224,164.00
2020-01-03 13:00,3.08,62.9122494,168.00
2020-01-03 14:00,2.65,73.23631084,167.00
2020-01-03 15:00,2.63,76.78520696,168.00
2020-01-03 16:00,3.05,86.46401456,167.00
2020-01-03 17:00,3.28,104.5311221,162.00
2020-01-03 18:00,2.64,89.69028376,158.00
2020-01-03 19:00,2.99,98.07858368,157.00
2020-01-03 20:00,3.08,113.5646758,156.00
2020-01-03 21:00,2.94,89.04502992,137.00
2020-01-03 22:00,3.51,0,96.00
2020-01-03 23:00,2.94,2.58101536,96.00
2020-01-04 0:00,2.82,4.8394038,95.00
2020-01-04 1:00,2.84,7.74304608,97.00
2020-01-04 2:00,3.28,4.8394038,95.00
2020-01-04 3:00,2.22,10.32406144,97.00
2020-01-04 4:00,3.36,7.09779224,93.00
2020-01-04 5:00,2.77,12.9050768,96.00
2020-01-04 6:00,2.84,9.03355376,96.00
2020-01-04 7:00,3.08,14.19558448,89.00
2020-01-04 8:00,3.97,7.42041916,91.00
2020-01-04 9:00,3.13,144.8594871,121.00
2020-01-04 10:00,3.47,166.4754907,129.00
2020-01-04 11:00,2.57,151.9572793,142.00
2020-01-04 12:00,2.79,137.4390679,151.00
2020-01-04 13:00,3.22,129.050768,157.00
2020-01-04 14:00,3.33,115.1778104,160.00
2020-01-04 15:00,2.76,128.7281411,157.00
2020-01-04 16:00,3.41,120.6624681,153.00
2020-01-04 17:00,2.88,52.91081488,107.00
2020-01-04 18:00,2.96,8.065673,96.00
2020-01-04 19:00,3.10,16.45397292,94.00
2020-01-04 20:00,2.74,19.03498828,93.00
2020-01-04 21:00,3.57,34.52108044,90.00
2020-01-04 22:00,3.82,30.97218432,89.00
2020-01-04 23:00,2.96,44.84514188,91.00
2020-01-05 0:00,2.96,63.88013016,90.00
2020-01-05 1:00,3.10,62.26699556,89.00
2020-01-05 2:00,3.19,59.36335328,89.00
2020-01-05 3:00,3.10,76.78520696,91.00
2020-01-05 4:00,3.04,76.13995312,89.00
2020-01-05 5:00,3.18,85.17350688,90.00
2020-01-05 6:00,3.30,79.68884924,88.00
2020-01-05 7:00,2.34,90.98079144,85.00
2020-01-05 8:00,3.21,84.85087996,86.00
2020-01-05 9:00,3.27,76.78520696,88.00
2020-01-05 10:00,3.24,75.49469928,88.00
2020-01-05 11:00,3.01,61.94436864,88.00
2020-01-05 12:00,3.24,72.591057,81.00
2020-01-05 13:00,3.54,56.13708408,85.00
2020-01-05 14:00,3.42,53.87869564,89.00
2020-01-05 15:00,3.78,69.68741472,91.00
2020-01-05 16:00,2.91,74.52681852,93.00
2020-01-05 17:00,3.09,75.17207236,93.00
2020-01-05 18:00,3.24,76.46258004,92.00
2020-01-05 19:00,3.39,79.68884924,90.00
2020-01-05 20:00,3.19,77.10783388,90.00
2020-01-05 21:00,3.76,87.1092684,93.00
2020-01-05 22:00,3.30,74.84944544,91.00
2020-01-05 23:00,3.51,92.27129912,89.00
2020-01-06 0:00,3.42,110.3384066,90.00
2020-01-06 1:00,3.36,102.5953606,88.00
2020-01-06 2:00,3.33,87.75452224,90.00
2020-01-06 3:00,2.97,109.047899,93.00
2020-01-06 4:00,3.45,110.6610336,93.00
2020-01-06 5:00,3.27,101.9501067,91.00
2020-01-06 6:00,3.89,116.4683181,91.00
2020-01-06 7:00,3.16,142.9237256,100.00
2020-01-06 8:00,3.51,321.6590392,134.00
2020-01-06 9:00,2.89,270.361359,148.00
2020-01-06 10:00,3.37,243.5833246,162.00
2020-01-06 11:00,2.74,227.7746055,176.00
2020-01-06 12:00,3.01,194.2214058,187.00
2020-01-06 13:00,3.22,198.4155558,191.00
2020-01-06 14:00,2.34,195.1892866,192.00
2020-01-06 15:00,2.97,178.0900598,188.00
2020-01-06 16:00,3.19,206.4812288,178.00
2020-01-06 17:00,3.01,196.4797943,172.00
2020-01-06 18:00,3.46,212.9337672,165.00
2020-01-06 19:00,3.04,190.6725097,158.00
2020-01-06 20:00,2.95,213.901648,147.00
2020-01-06 21:00,2.72,164.5397292,128.00
2020-01-06 22:00,2.77,29.68167664,98.00
2020-01-06 23:00,2.37,74.2041916,107.00
2020-01-07 0:00,2.63,55.16920332,104.00
