Timestamp,cw_kWh,stm_kWheq,elec_kWh
2020-01-01 0:00,0,245.52,175.5
2020-01-01 1:00,0,160.67,175.5
2020-01-01 2:00,0,207.45,173.5
2020-01-01 3:00,0,181.96,175.5
2020-01-01 4:00,0,222.61,174.5
2020-01-01 5:00,0,355.21,183
2020-01-01 6:00,0,330.37,185.5
2020-01-01 7:00,0,328.76,188
2020-01-01 8:00,0,334.89,191
2020-01-01 9:00,0,308.75,191
2020-01-01 10:00,0,310.04,191.5
2020-01-01 11:00,0,294.24,192
2020-01-01 12:00,0,300.69,193
2020-01-01 13:00,0,289.07,192.5
2020-01-01 14:00,0,288.11,194.5
2020-01-01 15:00,0,294.24,194
2020-01-01 16:00,0,311.01,193
2020-01-01 17:00,0,227.45,181.5
2020-01-01 18:00,0,182.28,182.5
2020-01-01 19:00,0,247.13,179.5
2020-01-01 20:00,0,166.48,178
2020-01-01 21:00,0,240.36,179
2020-01-01 22:00,0,172.61,175.5
2020-01-01 23:00,0,208.09,175
2020-01-02 0:00,0,190.67,176
2020-01-02 1:00,0,215.19,175.5
2020-01-02 2:00,0,199.71,174.5
2020-01-02 3:00,0,186.8,176
2020-01-02 4:00,0,171.64,175.5
2020-01-02 5:00,0,363.28,182.5
2020-01-02 6:00,0,337.47,187
2020-01-02 7:00,0,342.95,189.5
2020-01-02 8:00,0,344.24,194
2020-01-02 9:00,0,331.66,194
2020-01-02 10:00,0,314.24,194.5
2020-01-02 11:00,0,274.56,194.5
2020-01-02 12:00,0,255.2,196
2020-01-02 13:00,0,257.78,198.5
2020-01-02 14:00,0,260.04,195
2020-01-02 15:00,0,285.2,195
2020-01-02 16:00,0,287.46,196
2020-01-02 17:00,0,174.86,181.5
2020-01-02 18:00,0,179.7,180.5
2020-01-02 19:00,0,170.67,180.5
2020-01-02 20:00,0,170.67,177.5
2020-01-02 21:00,0,110.98,178.5
2020-01-02 22:00,0,122.28,176
2020-01-02 23:00,0,110.66,176
2020-01-03 0:00,0,110.02,176
2020-01-03 1:00,0,107.43,175.5
2020-01-03 2:00,0,100.01,175.5
2020-01-03 3:00,0,126.79,175.5
2020-01-03 4:00,0,120.99,176
2020-01-03 5:00,0,299.72,184
2020-01-03 6:00,0,265.2,189
2020-01-03 7:00,0,285.85,213
2020-01-03 8:00,0,260.68,240.5
2020-01-03 9:00,0,244.87,256.5
2020-01-03 10:00,0,250.68,254.5
2020-01-03 11:00,0,252.94,262
2020-01-03 12:00,0,241.97,253.5
2020-01-03 13:00,0,258.1,247.5
2020-01-03 14:00,0,264.23,246
2020-01-03 15:00,0,255.84,241
2020-01-03 16:00,0,274.88,226.5
2020-01-03 17:00,0,187.77,195.5
2020-01-03 18:00,0,153.57,186.5
2020-01-03 19:00,0,145.18,186
2020-01-03 20:00,0,133.57,183
2020-01-03 21:00,0,113.56,182.5
2020-01-03 22:00,0,114.53,180
2020-01-03 23:00,0,159.06,179.5
2020-01-04 0:00,0,123.89,180.5
2020-01-04 1:00,0,109.37,180.5
2020-01-04 2:00,0,143.25,179.5
2020-01-04 3:00,0,168.73,180
2020-01-04 4:00,0,135.83,179.5
2020-01-04 5:00,0,155.83,178.5
2020-01-04 6:00,0,337.79,189
2020-01-04 7:00,0,327.47,189.5
2020-01-04 8:00,0,319.72,190.5
2020-01-04 9:00,0,310.69,189.5
2020-01-04 10:00,0,331.34,189
2020-01-04 11:00,0,293.27,189
2020-01-04 12:00,0,302.95,190.5
2020-01-04 13:00,0,289.4,190.5
2020-01-04 14:00,0,299.08,190.5
2020-01-04 15:00,0,296.49,190.5
2020-01-04 16:00,0,307.46,189
2020-01-04 17:00,0,198.42,178.5
2020-01-04 18:00,0,234.87,178.5
2020-01-04 19:00,0,189.7,177.5
2020-01-04 20:00,0,184.54,178
2020-01-04 21:00,0,160.35,178
2020-01-04 22:00,0,143.25,178.5
2020-01-04 23:00,0,221,179
2020-01-05 0:00,0,222.29,178.5
2020-01-05 1:00,0,174.54,179.5
2020-01-05 2:00,0,183.9,179
2020-01-05 3:00,0,157.12,178.5
2020-01-05 4:00,0,160.35,178.5
2020-01-05 5:00,0,207.77,178
2020-01-05 6:00,0,412.32,187
2020-01-05 7:00,0,361.66,188.5
2020-01-05 8:00,0,371.02,187.5
2020-01-05 9:00,0,365.54,187
2020-01-05 10:00,0,350.7,187.5
2020-01-05 11:00,0,327.47,188
2020-01-05 12:00,0,347.47,188
2020-01-05 13:00,0,347.47,189
2020-01-05 14:00,0,337.79,189
2020-01-05 15:00,0,345.86,189
2020-01-05 16:00,0,356.18,188
2020-01-05 17:00,0,207.13,178.5
2020-01-05 18:00,0,156.8,177.5
2020-01-05 19:00,0,175.19,177.5
2020-01-05 20:00,0,166.48,178
2020-01-05 21:00,0,186.8,177.5
2020-01-05 22:00,0,168.09,178
2020-01-05 23:00,0,221,177
2020-01-06 0:00,0,223.26,178.5
2020-01-06 1:00,0,221.64,177
2020-01-06 2:00,0,228.42,177.5
2020-01-06 3:00,0,235.52,176.5
2020-01-06 4:00,0,229.07,177
2020-01-06 5:00,0,462,187
2020-01-06 6:00,0,400.38,195.5
2020-01-06 7:00,0,448.13,220
2020-01-06 8:00,0,417.16,253
2020-01-06 9:00,0,380.05,273.5
2020-01-06 10:00,0,395.86,278.5
2020-01-06 11:00,0,370.05,286.5
2020-01-06 12:00,0,360.37,276.5
2020-01-06 13:00,0,341.98,280.5
2020-01-06 14:00,0,337.15,277.5
2020-01-06 15:00,0,352.63,270.5
2020-01-06 16:00,0,369.41,247
2020-01-06 17:00,0,199.38,208.5
2020-01-06 18:00,0,189.38,199.5
2020-01-06 19:00,0,184.54,196
2020-01-06 20:00,0,193.58,190
2020-01-06 21:00,0,197.45,188.5
2020-01-06 22:00,0,181.64,185
2020-01-06 23:00,0,202.93,184.5
2020-01-07 0:00,0,173.9,185
2020-01-07 1:00,0,182.28,184.5
2020-01-07 2:00,0,174.22,185
2020-01-07 3:00,0,169.7,185
2020-01-07 4:00,0,181.96,185.5
2020-01-07 5:00,0,402.96,193.5
2020-01-07 6:00,0,392.64,199.5
2020-01-07 7:00,0,377.8,226.5
2020-01-07 8:00,0,356.18,261.5
2020-01-07 9:00,0,309.08,278.5
2020-01-07 10:00,0,313.27,281
2020-01-07 11:00,0,310.69,287
2020-01-07 12:00,0,310.37,279
2020-01-07 13:00,0,287.78,282.5
2020-01-07 14:00,0,302.95,277
2020-01-07 15:00,0,322.3,265
2020-01-07 16:00,0,288.75,236
2020-01-07 17:00,0,245.52,211
2020-01-07 18:00,0,177.77,199.5
2020-01-07 19:00,0,227.77,192.5
2020-01-07 20:00,0,226.48,190
2020-01-07 21:00,0,196.48,186.5
2020-01-07 22:00,0,230.36,186.5
2020-01-07 23:00,0,213.9,180
2020-01-08 0:00,0,194.87,182
2020-01-08 1:00,0,206.48,183
2020-01-08 2:00,0,183.9,183.5
2020-01-08 3:00,0,209.38,182.5
2020-01-08 4:00,0,224.55,182.5
2020-01-08 5:00,0,377.47,192
2020-01-08 6:00,0,339.73,200.5
2020-01-08 7:00,0,356.18,233
2020-01-08 8:00,0,332.95,264
2020-01-08 9:00,0,323.92,282.5
2020-01-08 10:00,0,313.92,277
2020-01-08 11:00,0,325.85,285.5
2020-01-08 12:00,0,316.17,275
2020-01-08 13:00,0,333.92,283
2020-01-08 14:00,0,343.28,275
2020-01-08 15:00,0,360.05,266.5
2020-01-08 16:00,0,401.67,245.5
2020-01-08 17:00,0,225.84,208.5
2020-01-08 18:00,0,223.9,196
2020-01-08 19:00,0,238.74,192.5
2020-01-08 20:00,0,233.9,190
2020-01-08 21:00,0,229.71,187
2020-01-08 22:00,0,240.36,183
2020-01-08 23:00,0,227.77,182.5
2020-01-09 0:00,0,227.77,182.5
2020-01-09 1:00,0,237.78,184
2020-01-09 2:00,0,261.01,184
2020-01-09 3:00,0,259.07,183.5
2020-01-09 4:00,0,256.17,183.5
2020-01-09 5:00,0,514.59,191.5
2020-01-09 6:00,0,455.87,201
2020-01-09 7:00,0,498.14,224.5
