Timestamp,cw_kWh,stm_kWheq,elec_kWh
2019-01-01 0:00,0.00,146.80,82.00
2019-01-01 1:00,0.00,146.80,82.00
2019-01-01 2:00,0.00,142.28,80.50
2019-01-01 3:00,0.00,144.86,82.00
2019-01-01 4:00,0.00,147.76,82.50
2019-01-01 5:00,0.00,146.47,81.50
2019-01-01 6:00,0.00,144.86,81.50
2019-01-01 7:00,0.00,157.44,84.00
2019-01-01 8:00,0.00,147.12,84.00
2019-01-01 9:00,0.00,155.51,83.00
2019-01-01 10:00,0.00,158.73,83.50
2019-01-01 11:00,0.00,236.81,97.50
2019-01-01 12:00,0.00,241.65,104.50
2019-01-01 13:00,0.00,229.71,106.00
2019-01-01 14:00,0.00,245.84,106.50
2019-01-01 15:00,0.00,248.10,109.00
2019-01-01 16:00,0.00,254.55,110.00
2019-01-01 17:00,0.00,235.20,99.00
2019-01-01 18:00,0.00,203.25,94.50
2019-01-01 19:00,0.00,213.26,93.00
2019-01-01 20:00,0.00,213.58,86.00
2019-01-01 21:00,0.00,220.03,86.50
2019-01-01 22:00,0.00,229.07,85.50
2019-01-01 23:00,0.00,219.06,84.50
2019-01-02 0:00,0.00,256.49,85.50
2019-01-02 1:00,0.00,237.78,83.50
2019-01-02 2:00,0.00,249.07,83.00
2019-01-02 3:00,0.00,234.55,83.00
2019-01-02 4:00,0.00,247.13,84.50
2019-01-02 5:00,0.00,240.03,83.50
2019-01-02 6:00,0.00,250.68,85.00
2019-01-02 7:00,0.00,248.42,86.00
2019-01-02 8:00,0.00,274.88,90.00
2019-01-02 9:00,0.00,343.28,102.50
2019-01-02 10:00,0.00,311.33,112.00
2019-01-02 11:00,0.00,301.01,118.50
2019-01-02 12:00,0.00,275.85,126.50
2019-01-02 13:00,0.00,256.81,128.00
2019-01-02 14:00,0.00,265.20,125.50
2019-01-02 15:00,0.00,279.07,121.50
2019-01-02 16:00,0.00,291.33,121.00
2019-01-02 17:00,0.00,306.17,119.50
2019-01-02 18:00,0.00,308.11,116.50
2019-01-02 19:00,0.00,327.47,114.50
2019-01-02 20:00,0.00,297.46,104.00
2019-01-02 21:00,0.00,297.46,102.50
2019-01-02 22:00,0.00,310.37,99.00
2019-01-02 23:00,0.00,213.90,87.50
2019-01-03 0:00,0.00,205.51,86.50
2019-01-03 1:00,0.00,205.51,87.00
2019-01-03 2:00,0.00,209.06,87.00
2019-01-03 3:00,0.00,195.83,89.50
2019-01-03 4:00,0.00,206.16,90.00
2019-01-03 5:00,0.00,201.00,88.50
2019-01-03 6:00,0.00,196.48,89.50
2019-01-03 7:00,0.00,206.16,86.50
2019-01-03 8:00,0.00,212.61,89.00
2019-01-03 9:00,0.00,290.04,107.50
2019-01-03 10:00,0.00,276.81,120.50
2019-01-03 11:00,0.00,227.45,126.00
2019-01-03 12:00,0.00,247.13,129.00
2019-01-03 13:00,0.00,213.58,135.50
2019-01-03 14:00,0.00,427.80,131.50
2019-01-03 15:00,0.00,484.26,131.50
2019-01-03 16:00,0.00,243.91,131.00
2019-01-03 17:00,0.00,237.78,130.50
2019-01-03 18:00,0.00,235.84,128.50
2019-01-03 19:00,0.00,225.52,129.00
2019-01-03 20:00,0.00,220.68,118.00
2019-01-03 21:00,0.00,223.58,116.50
2019-01-03 22:00,0.00,201.32,106.50
2019-01-03 23:00,0.00,150.99,93.50
2019-01-04 0:00,0.00,147.44,93.00
2019-01-04 1:00,0.00,153.25,91.00
2019-01-04 2:00,0.00,141.63,97.50
2019-01-04 3:00,0.00,148.41,97.00
2019-01-04 4:00,0.00,130.99,89.00
2019-01-04 5:00,0.00,131.95,86.00
2019-01-04 6:00,0.00,133.89,86.00
2019-01-04 7:00,0.00,149.70,87.00
2019-01-04 8:00,0.00,152.93,92.00
2019-01-04 9:00,0.00,200.67,107.50
2019-01-04 10:00,0.00,189.70,111.50
2019-01-04 11:00,0.00,178.74,117.00
2019-01-04 12:00,0.00,177.12,118.00
2019-01-04 13:00,0.00,175.51,122.00
2019-01-04 14:00,0.00,172.28,119.50
2019-01-04 15:00,0.00,173.90,123.00
2019-01-04 16:00,0.00,172.93,127.00
2019-01-04 17:00,0.00,178.41,125.50
2019-01-04 18:00,0.00,181.96,121.50
2019-01-04 19:00,0.00,182.28,118.00
2019-01-04 20:00,0.00,180.35,108.50
2019-01-04 21:00,0.00,178.74,107.00
2019-01-04 22:00,0.00,177.44,103.00
2019-01-04 23:00,0.00,133.24,89.00
2019-01-05 0:00,0.00,130.66,87.50
2019-01-05 1:00,0.00,133.89,84.00
2019-01-05 2:00,0.00,140.34,84.50
2019-01-05 3:00,0.00,127.76,84.50
2019-01-05 4:00,0.00,137.44,84.50
2019-01-05 5:00,0.00,132.60,83.00
2019-01-05 6:00,0.00,126.47,82.50
2019-01-05 7:00,0.00,131.95,84.50
2019-01-05 8:00,0.00,128.73,83.50
2019-01-05 9:00,0.00,139.70,85.50
2019-01-05 10:00,0.00,150.02,96.50
2019-01-05 11:00,0.00,154.86,103.00
2019-01-05 12:00,0.00,158.41,104.00
2019-01-05 13:00,0.00,143.25,104.00
2019-01-05 14:00,0.00,152.60,103.50
2019-01-05 15:00,0.00,150.67,103.50
2019-01-05 16:00,0.00,163.89,105.50
2019-01-05 17:00,0.00,181.96,107.00
2019-01-05 18:00,0.00,150.67,97.50
2019-01-05 19:00,0.00,135.83,95.00
2019-01-05 20:00,0.00,123.57,90.00
2019-01-05 21:00,0.00,129.37,88.50
2019-01-05 22:00,0.00,128.41,87.50
2019-01-05 23:00,0.00,135.50,88.00
2019-01-06 0:00,0.00,130.66,85.50
2019-01-06 1:00,0.00,136.79,82.50
2019-01-06 2:00,0.00,136.47,83.50
2019-01-06 3:00,0.00,135.83,83.50
2019-01-06 4:00,0.00,142.60,84.50
2019-01-06 5:00,0.00,133.24,82.50
2019-01-06 6:00,0.00,144.21,82.50
2019-01-06 7:00,0.00,153.89,84.50
2019-01-06 8:00,0.00,161.96,83.50
2019-01-06 9:00,0.00,173.57,82.50
2019-01-06 10:00,0.00,165.83,82.50
2019-01-06 11:00,0.00,168.73,83.00
2019-01-06 12:00,0.00,166.80,86.00
2019-01-06 13:00,0.00,179.06,88.50
2019-01-06 14:00,0.00,174.22,89.00
2019-01-06 15:00,0.00,177.77,92.50
2019-01-06 16:00,0.00,182.93,95.50
2019-01-06 17:00,0.00,182.28,96.00
2019-01-06 18:00,0.00,199.71,93.50
2019-01-06 19:00,0.00,195.19,94.00
2019-01-06 20:00,0.00,200.67,87.00
2019-01-06 21:00,0.00,217.13,87.50
2019-01-06 22:00,0.00,200.67,86.50
2019-01-06 23:00,0.00,221.97,83.50
2019-01-07 0:00,0.00,213.90,84.00
2019-01-07 1:00,0.00,223.26,83.50
2019-01-07 2:00,0.00,215.84,82.50
2019-01-07 3:00,0.00,221.00,82.00
2019-01-07 4:00,0.00,235.20,87.50
2019-01-07 5:00,0.00,221.64,90.50
2019-01-07 6:00,0.00,229.39,84.50
2019-01-07 7:00,0.00,245.52,85.50
2019-01-07 8:00,0.00,240.03,95.00
2019-01-07 9:00,0.00,345.86,121.50
2019-01-07 10:00,0.00,291.01,132.50
2019-01-07 11:00,0.00,287.14,136.50
2019-01-07 12:00,0.00,282.94,146.50
2019-01-07 13:00,0.00,262.62,147.00
2019-01-07 14:00,0.00,270.36,147.00
2019-01-07 15:00,0.00,290.69,147.00
2019-01-07 16:00,0.00,284.23,148.00
2019-01-07 17:00,0.00,313.92,138.50
2019-01-07 18:00,0.00,304.88,137.00
2019-01-07 19:00,0.00,305.21,131.50
2019-01-07 20:00,0.00,296.17,121.50
2019-01-07 21:00,0.00,312.95,116.00
2019-01-07 22:00,0.00,295.53,106.00
2019-01-07 23:00,0.00,217.77,93.50
2019-01-08 0:00,0.00,210.03,93.00
2019-01-08 1:00,0.00,195.51,90.00
2019-01-08 2:00,0.00,201.64,91.50
2019-01-08 3:00,0.00,188.74,92.50
2019-01-08 4:00,0.00,189.70,93.00
2019-01-08 5:00,0.00,183.25,94.50
2019-01-08 6:00,0.00,173.57,97.00
2019-01-08 7:00,0.00,188.41,96.50
