"","RM4534","RM4532","RM4530","RM4528","RM4527","RM4525","RM4523","RM4522","RM4521","RM4514D","RM4514C","RM4514","RM4514B","RM4514A","RM4520","RM4524","RM4526","RM4535","RM4533","RM4537","RM4536","RM4539","RM4541","RM4543","RM4513","RM4500"
"RM4534",0,270.053698363862,584.31840635051,905.494340125878,1156.14012991505,1491.0214619515,1872.01709393905,2075.42501671344,2353.01359962071,2845.08506023985,3073.07874939774,2967.20474521055,3134.95470461696,2902.2041623566,2369.36552688689,2007.34351818517,1187.01305805791,261,596.337152959632,1053,912.676284341825,1204.12333255361,1321.66939890428,1407.9786930206,2494.10765605657,1925.64924116517
"RM4532",270.053698363862,0,317,639,893.745489499108,1227.4673111737,1608.11970947439,1810.02762409859,2088.86189107849,2580.17441270934,2808.16025183749,2709.95811775754,2887.69111921618,2657.01862996856,2113.9167438667,1754.31724611029,948.272640119918,410.114618125226,394.320935279881,1136.33181773635,828.184158264332,1225.01999983674,1272.38398292339,1234.31154900211,2263.64838258949,1686.78925773198
"RM4530",584.31840635051,317,0,322,578.252539985775,910.978045838647,1291.39459500185,1493.03348924262,1772.01608344845,2263.19884234682,2491.18064379121,2395.99749582507,2580.74504746207,2352.0469808233,1801.48300019734,1444.20774128932,660.36656487136,660.827511533834,266.176633084123,1248.89911522108,775.403120963541,1263.61584352207,1225.29751489179,1027.90271913251,1973.43887668202,1390.41324792308
"RM4528",905.494340125878,639,322,0,261.541583691772,590.058471678867,969.857721524142,1171.04269776981,1450.24170399282,1941.23182541396,2169.20745895823,2078.02983616694,2271.78630156976,2046.01197454951,1486.10262095186,1133.11782264688,414.004830889689,956.653019647145,436.616536562691,1427.669779746,849.137209171757,1378.42264926255,1260.01984111362,887.713917881206,1688.54404739705,1101.18708673867
"RM4527",1156.14012991505,893.745489499108,578.252539985775,261.541583691772,0,335.149220497378,716.069828997145,920.956567922722,1197.0417703656,1689.47358665355,1917.41727331325,1818.00440043472,2010.41513126021,1785.18150337718,1224.91183356191,871.678839940491,260.007692193904,1181.26415335436,629.941267103529,1551.63172176905,925.108642268572,1454.46931903014,1277.98043803495,780.010256342825,1437.097421889,849.802918328715
"RM4525",1491.0214619515,1227.4673111737,910.978045838647,590.058471678867,335.149220497378,0,381,586.136502872838,862,1354.33230781814,1582.28442449517,1489.89429155226,1698.02355696262,1479.13758656861,903.296186198082,565.604985833753,431.820564586727,1512.31279833241,956.232712262031,1820.74325482754,1176.25719976543,1686.17496126588,1461.21490548105,856.540133327096,1176.64098177821,609.040228556374
"RM4523",1872.01709393905,1608.11970947439,1291.39459500185,969.857721524142,716.069828997145,381,0,209.066974914739,481,973.462377290463,1201.37462933092,1118.77790467992,1350.73498510996,1144.72922562499,551.598585930022,293.863914082692,767.088000166865,1889.01905760635,1330.88316542062,2143.92373931537,1496.81328160863,1979.1980699263,1718.25318274112,1063.50552419816,930.151062999984,483.103508577613
"RM4522",2075.42501671344,1810.02762409859,1493.03348924262,1171.04269776981,920.956567922722,586.136502872838,209.066974914739,0,282.460616723819,770.259696466068,998.200380685161,941.325129803725,1201.49906367005,1012.98963469524,423.891495550453,331.615741484025,975.00820509368,2097.00596088805,1539.26898234194,2346.19905378892,1699.8673477657,2174.17432603736,1904.04332933891,1242.10506801961,888,573.984320343335
"RM4521",2353.01359962071,2088.86189107849,1772.01608344845,1450.24170399282,1197.0417703656,862,481,282.460616723819,0,492.913785564981,720.624728967859,666.382022566636,949.951577713306,785.674232745354,270,454.009911786075,1229.02440984709,2366.56248596989,1807.66174933255,2574.61336903233,1933.0910480368,2384.90796468124,2097.32234050944,1430.85603748246,790.063288604147,688.745235918188
"RM4514D",2845.08506023985,2580.17441270934,2263.19884234682,1941.23182541396,1689.47358665355,1354.33230781814,973.462377290463,770.259696466068,492.913785564981,0,228,339.312540292869,690.057968579452,652.110420097701,576.249945770062,907.991740050536,1717.40531034465,2859.04074822308,2300.03673883701,3041.32372495925,2406.2354415144,2836.96210760736,2535.2950518628,1873.9330297532,951.169806080912,1108.80927124551
"RM4514C",3073.07874939774,2808.16025183749,2491.18064379121,2169.20745895823,1917.41727331325,1582.28442449517,1201.37462933092,998.200380685161,720.624728967859,228,0,343.984011256337,652.003067477447,694.769026367756,780,1125.71088650683,1942.30816298547,3086.00356448271,2526.95092948003,3255.60347708378,2623.98189780341,3045.26287863626,2738.48881684772,2081.33827140136,1084.66584716216,1315.17679419917
"RM4514",2967.20474521055,2709.95811775754,2395.99749582507,2078.02983616694,1818.00440043472,1489.89429155226,1118.77790467992,941.325129803725,666.382022566636,339.312540292869,343.984011256337,0,350.80051311251,350.80051311251,599.403870524707,964.251004666316,1798.13458895601,2952.25761071083,2396.57964607897,3046.52474140618,2432.06784444842,2818.60408713249,2500.35557471332,1859.91075054692,771.313814215719,1106.60787996471
"RM4514B",3134.95470461696,2887.69111921618,2580.74504746207,2271.78630156976,2010.41513126021,1698.02355696262,1350.73498510996,1201.49906367005,949.951577713306,690.057968579452,652.003067477447,350.80051311251,0,238,799.642420085378,1138.76819414664,1949.04925540634,3093.08939411715,2548.34946583078,3099.99516128655,2515.71957896742,2851.18396460137,2521.16897490033,1918.37040219036,727.659260918186,1216.9642558432
"RM4514A",2902.2041623566,2657.01862996856,2352.0469808233,2046.01197454951,1785.18150337718,1479.13758656861,1144.72922562499,1012.98963469524,785.674232745354,652.110420097701,694.769026367756,350.80051311251,238,0,595.234407607625,915.384618616677,1715.50138443547,2856.93017065521,2313.88526076813,2864.40534841003,2277.89925150345,2617.93239026526,2289.32850416885,1681.41398828486,499.123231276606,980.898567640916
"RM4520",2369.36552688689,2113.9167438667,1801.48300019734,1486.10262095186,1224.91183356191,903.296186198082,551.598585930022,423.891495550453,270,576.249945770062,780,599.403870524707,799.642420085378,595.234407607625,0,365,1199,2353.06141016336,1797.17584003347,2477.34414242349,1850.30835268071,2265.30042157768,1960.2451377315,1301.40270477666,520.096144957834,535.210239064986
"RM4524",2007.34351818517,1754.31724611029,1444.20774128932,1133.11782264688,871.678839940491,565.604985833753,293.863914082692,331.615741484025,454.009911786075,907.991740050536,1125.71088650683,964.251004666316,1138.76819414664,915.384618616677,365,0,834,1988.07268478796,1432.47547972033,2133.72186566103,1498.59467502057,1935.37619082183,1643.97871032444,977.744342862693,641.112314653213,247.477271683684
"RM4526",1187.01305805791,948.272640119918,660.36656487136,414.004830889689,260.007692193904,431.820564586727,767.088000166865,975.00820509368,1229.02440984709,1717.40531034465,1942.30816298547,1798.13458895601,1949.04925540634,1715.50138443547,1199,834,0,1154.1252098451,600.528100924511,1390.08668794432,744.603250060057,1256.56237409848,1047.8788097867,520.034614232553,1316.08548354581,739.346332918477
"RM4535",261,410.114618125226,660.827511533834,956.653019647145,1181.26415335436,1512.31279833241,1889.01905760635,2097.00596088805,2366.56248596989,2859.04074822308,3086.00356448271,2952.25761071083,3093.08939411715,2856.93017065521,2353.06141016336,1988.07268478796,1154.1252098451,0,559.064397006284,792,723.66635958845,951.697430909635,1096.64260358605,1278.2679687765,2423.24947126787,1876.15137981987
"RM4533",596.337152959632,394.320935279881,266.176633084123,436.616536562691,629.941267103529,956.232712262031,1330.88316542062,1539.26898234194,1807.66174933255,2300.03673883701,2526.95092948003,2396.57964607897,2548.34946583078,2313.88526076813,1797.17584003347,1432.47547972033,600.528100924511,559.064397006284,0,1007.89334753237,510,1001.41150382847,961.407301823738,840.139274168277,1898.38378627716,1334.28220403331
"RM4537",1053,1136.33181773635,1248.89911522108,1427.669779746,1551.63172176905,1820.74325482754,2143.92373931537,2346.19905378892,2574.61336903233,3041.32372495925,3255.60347708378,3046.52474140618,3099.99516128655,2864.40534841003,2477.34414242349,2133.72186566103,1390.08668794432,792,1007.89334753237,0,647.417176170049,297.294466816993,620.710077250241,1187.69735202197,2376.71916725557,1944.96478117214
"RM4536",912.676284341825,828.184158264332,775.403120963541,849.137209171757,925.108642268572,1176.25719976543,1496.81328160863,1699.8673477657,1933.0910480368,2406.2354415144,2623.98189780341,2432.06784444842,2515.71957896742,2277.89925150345,1850.30835268071,1498.59467502057,744.603250060057,723.66635958845,510,647.417176170049,0,532.658427136941,452.994481202586,607.646278685223,1807.55663811677,1325.46180631507
"RM4539",1204.12333255361,1225.01999983674,1263.61584352207,1378.42264926255,1454.46931903014,1686.17496126588,1979.1980699263,2174.17432603736,2384.90796468124,2836.96210760736,3045.26287863626,2818.60408713249,2851.18396460137,2617.93239026526,2265.30042157768,1935.37619082183,1256.56237409848,951.697430909635,1001.41150382847,297.294466816993,532.658427136941,0,337,963.934126380014,2124.36013895949,1730.09363908431
"RM4541",1321.66939890428,1272.38398292339,1225.29751489179,1260.01984111362,1277.98043803495,1461.21490548105,1718.25318274112,1904.04332933891,2097.32234050944,2535.2950518628,2738.48881684772,2500.35557471332,2521.16897490033,2289.32850416885,1960.2451377315,1643.97871032444,1047.8788097867,1096.64260358605,961.407301823738,620.710077250241,452.994481202586,337,0,666.502813197364,1793.6390383798,1426.58087748294
"RM4543",1407.9786930206,1234.31154900211,1027.90271913251,887.713917881206,780.010256342825,856.540133327096,1063.50552419816,1242.10506801961,1430.85603748246,1873.9330297532,2081.33827140136,1859.91075054692,1918.37040219036,1681.41398828486,1301.40270477666,977.744342862693,520.034614232553,1278.2679687765,840.139274168277,1187.69735202197,607.646278685223,963.934126380014,666.502813197364,0,1203,766.193839703766
"RM4513",2494.10765605657,2263.64838258949,1973.43887668202,1688.54404739705,1437.097421889,1176.64098177821,930.151062999984,888,790.063288604147,951.169806080912,1084.66584716216,771.313814215719,727.659260918186,499.123231276606,520.096144957834,641.112314653213,1316.08548354581,2423.24947126787,1898.38378627716,2376.71916725557,1807.55663811677,2124.36013895949,1793.6390383798,1203,0,587.579781816904
"RM4500",1925.64924116517,1686.78925773198,1390.41324792308,1101.18708673867,849.802918328715,609.040228556374,483.103508577613,573.984320343335,688.745235918188,1108.80927124551,1315.17679419917,1106.60787996471,1216.9642558432,980.898567640916,535.210239064986,247.477271683684,739.346332918477,1876.15137981987,1334.28220403331,1944.96478117214,1325.46180631507,1730.09363908431,1426.58087748294,766.193839703766,587.579781816904,0
