num_zones,num_iterations,occSch,hc,cc,bb,fn,lt,eq,RM4534_sensor,RM4532_sensor,RM4530_sensor,RM4528_sensor,RM4527_sensor,RM4525_sensor,RM4523_sensor,RM4522_sensor,RM4521_sensor,RM4514D_sensor,RM4514C_sensor,RM4514_sensor,RM4514B_sensor,RM4514A_sensor,RM4520_sensor,RM4524_sensor,RM4526_sensor,RM4535_sensor,RM4533_sensor,RM4537_sensor,RM4536_sensor,RM4539_sensor,RM4541_sensor,RM4543_sensor,RM4513_sensor,RM4500_sensor,RM4534_co2,RM4532_co2,RM4530_co2,RM4528_co2,RM4527_co2,RM4525_co2,RM4523_co2,RM4522_co2,RM4521_co2,RM4514D_co2,RM4514C_co2,RM4514_co2,RM4514B_co2,RM4514A_co2,RM4520_co2,RM4524_co2,RM4526_co2,RM4535_co2,RM4533_co2,RM4537_co2,RM4536_co2,RM4539_co2,RM4541_co2,RM4543_co2,RM4513_co2,RM4500_co2,RM4534_Tza,RM4532_Tza,RM4530_Tza,RM4528_Tza,RM4527_Tza,RM4525_Tza,RM4523_Tza,RM4522_Tza,RM4521_Tza,RM4514D_Tza,RM4514C_Tza,RM4514_Tza,RM4514B_Tza,RM4514A_Tza,RM4520_Tza,RM4524_Tza,RM4526_Tza,RM4535_Tza,RM4533_Tza,RM4537_Tza,RM4536_Tza,RM4539_Tza,RM4541_Tza,RM4543_Tza,RM4513_Tza,RM4500_Tza
1,1,1,35.84427151,137.6179659,119.1769927,63.83804197,52.03923996,53.7948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0,0,0,0,0,0,196.75,29.5,234,142.5,293.5,336.5,36,197.5,45.5,64,15,335.75,114,440.25,720.75,645.75,176.5,89.25,750.75,2167,262.25,589.75,352,381.25,344.25,0
1,1,2,49.57731422,148.0367054,134.1527625,67.64287906,49.54538951,47.034,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,0,0,0,0,0,0,136.5,271.5,191.5,16.25,244.75,471,265.5,179.5,53.75,68.5,40,431,86.25,490.25,51.25,113.5,89.5,108.25,1158.25,2166.5,465.75,601.25,686.25,103.5,436.5,0
1,1,3,57.73495257,156.3497141,137.8018276,70.45586234,54.64544429,58.09212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.25,301,77.5,6.75,222,449.25,417,36,204,17.5,41.25,194.5,12.25,46,431.75,453,560.75,46.5,2319.75,262,520,198.75,391.75,334,649.5,0
1,1,4,43.1147716,155.5686397,127.2838449,66.79672907,59.64946351,77.95764,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,178.5,330,15.5,291,281.75,155,171.5,193.5,68,205.75,140.75,118.25,167,574.25,317,460,16.75,47.25,1123,1166,879.75,366.5,249.5,324.75,343.75,0
1,1,5,59.20100794,169.8482761,126.1412302,70.39338002,56.52316742,112.51224,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,179.25,183,7,195.75,294.25,241.5,426.75,60.25,16,15.5,153.25,138.25,127.25,91,533.5,175.5,490.75,447.75,597.5,638.75,1955.75,828.75,572.5,182.25,647.25,0
1,1,6,58.88153877,155.4851807,132.0671715,70.10125862,55.66727994,65.53116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,170.25,58.75,186.25,274.25,454.5,86.5,278.5,15.5,258,150.75,70.25,35.25,560.5,438.5,504.25,466.5,426.75,2339.25,264.75,514,1278,264.75,135,346.75,0
1,1,7,49.5552274,144.2061206,133.1377362,68.23769231,47.69887131,45.95184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,14.75,69.25,249.25,6.25,220.5,330.75,304.75,138,216.5,219.25,32.75,112.25,122,92.5,579.75,86,356.5,47,742.25,1076.75,266.5,801,610.25,378.5,269,0
1,1,8,48.5353856,145.364729,132.5374051,68.65424381,49.44895608,42.8895,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,195.75,56,16,253,817.75,160,67,46.25,193,14.75,197,167.75,15,194.75,114.5,466.75,48,866.5,308.25,490.25,201.5,355.25,479,359.25,0
1,1,9,53.80268288,157.1297816,130.1666013,68.77317985,51.36563081,72.50256,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.5,174.75,16,202.5,17.25,448.75,333,231.25,64.5,285.25,153.5,439,39.75,375.75,412.75,451,56.25,814.25,861.75,597,937.25,643.5,370,260.25,481.5,0
1,1,10,46.05862853,149.5502895,134.8903495,68.69472242,50.38159485,56.42838,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.5,0,0,0,0,0,0,15.5,228,38.25,72.5,234,332.25,94.5,56.75,196.5,62.25,10.5,195.25,107,485.25,657.5,325.5,844.25,624.75,680.25,1022,521.75,294.5,413.25,444,649.25,0
